,open,high,low,close,adjclose,volume,ticker,future
1997-05-15,0.0002908539648683666,0.000296294569048563,0.00017633194206415602,0.00015934599902132712,0.00015934599902132712,0.6901716068642747,AMZN,2.655766650355452e-05
1997-05-16,0.00015864761720092724,0.0001496140836707354,0.00011356972945519947,9.442723616609212e-05,9.442723616609212e-05,0.13686947477899117,AMZN,4.131190315898308e-05
1997-05-19,9.988922925257215e-05,9.094191637760133e-05,8.966030372708079e-05,8.852555501184838e-05,8.852555501184838e-05,0.05411683133992027,AMZN,3.3934784831268826e-05
1997-05-20,9.107547274140947e-05,8.507468621928943e-05,9.26489691170863e-05,6.78695696625376e-05,6.78695696625376e-05,0.04795747385450974,AMZN,5.4590736410760365e-05
1997-05-21,6.463420320792162e-05,5.573860257272246e-05,1.7932060745416147e-05,8.852555501184876e-06,8.852555501184876e-06,0.17686485237187266,AMZN,0.00014606716576954983
1997-05-22,8.813756511162618e-06,0.0,0.0,0.0,0.0,0.10871901542728377,AMZN,0.00017114939509963378
1997-05-23,0.0,2.0535288767843532e-05,5.97736498270259e-06,2.9508507080676415e-05,2.9508507080676415e-05,0.14878372912694288,AMZN,0.0002567240757645411
1997-05-27,2.9379177163271146e-05,5.573860257272246e-05,4.1841486473534885e-05,5.311533300710904e-05,5.311533300710904e-05,0.0790662737620616,AMZN,0.00026262582445842324
1997-05-28,6.169629557813838e-05,5.280497070731839e-05,6.276221260895654e-05,3.836106258186124e-05,3.836106258186124e-05,0.03935979661408679,AMZN,0.0003304953941209609
1997-05-29,3.8192933674433764e-05,2.6402485353659196e-05,4.7818817253545906e-05,3.098394425414693e-05,3.098394425414693e-05,0.02875137227711331,AMZN,0.0002537732689572384
1997-05-30,2.6441269533487854e-05,1.7601656902439464e-05,4.7818817253545906e-05,2.9508507080676415e-05,2.9508507080676415e-05,0.020292367250245566,AMZN,0.0002095104914513142
1997-06-02,2.9379177163271146e-05,2.3468887060751364e-05,5.3796182236248496e-05,3.2459347657798256e-05,3.2459347657798256e-05,0.001005373548275265,AMZN,0.0002950851721162215
1997-06-03,3.525502604465053e-05,2.3468887060751364e-05,4.7818817253545906e-05,2.3606792156613435e-05,2.3606792156613435e-05,0.006702490321835097,AMZN,0.0002655766312657259
1997-06-04,2.0565420652108527e-05,1.17344603166238e-05,2.3909425728118737e-05,5.901681154243737e-06,5.901681154243737e-06,0.024972554457733866,AMZN,0.00023311728360792764
1997-06-05,2.937907629783291e-06,2.6402485353659196e-05,1.7932060745416147e-05,4.131190315898308e-05,4.131190315898308e-05,0.049933552897671464,AMZN,0.000215412172605558
1997-06-06,3.084814778906922e-05,7.334025947516192e-05,5.678484762625395e-05,7.377128458660058e-05,7.377128458660058e-05,0.07049170855723118,AMZN,0.0002227893247030915
1997-06-09,7.0510052089301e-05,7.334025947516192e-05,9.862633409978884e-05,8.26238400877854e-05,8.26238400877854e-05,0.01795805165539955,AMZN,0.0002095104914513142
1997-06-10,8.5199657481843e-05,7.334025947516192e-05,6.276221260895654e-05,5.311533300710904e-05,5.311533300710904e-05,0.04787658172993587,AMZN,0.0002537732689572384
1997-06-11,5.288253906697576e-05,4.400414225609866e-05,6.276221260895654e-05,4.131190315898308e-05,4.131190315898308e-05,0.006748714393020166,AMZN,0.0002449207134560536
1997-06-12,4.994463143719247e-05,5.573860257272246e-05,6.873957759165913e-05,5.9017014161352776e-05,5.9017014161352776e-05,0.011024440977639105,AMZN,0.00023606815795486878
1997-06-13,6.169629557813838e-05,4.987137241441056e-05,7.770560796436718e-05,5.311533300710904e-05,5.311533300710904e-05,0.0019876350609579945,AMZN,0.00026262582445842324
